Name,Genres,Popularity,Followers,Artist_URI
Snuffed on Sight,slam death metal,35,21564,spotify:artist:7o56ORTn1ftm2wC0l3INdg
Decapitated,"brutal death metal, death metal, deathgrind, groove metal, metal, polish death metal, polish metal, technical death metal, technical groove metal, thrash metal",41,227808,spotify:artist:17MbhJOaaPHuWnRaWU9xkc
Dissection,"black metal, death metal, gothenburg metal, melodic black metal, metal, swedish black metal, swedish death metal, swedish metal",43,181235,spotify:artist:6qpmcQfxhmNxNMCJUrpHwe
Rivers of Nihil,"djent, melodic death metal, technical death metal",39,110487,spotify:artist:3UJmyt9ApeZTmOlMvBNGLN
Candlemass,"death metal, doom metal, epic doom, metal, opera metal, speed metal, stoner metal, swedish doom metal, swedish metal",40,215782,spotify:artist:7zDtfSB0AOZWhpuAHZIOw5
Within Destruction,"deathcore, melodic metalcore, slamming deathcore, slovenian metal",38,92819,spotify:artist:1kAX4yFdmR0hJe2tPu1785
Traitors,"deathcore, downtempo deathcore, melodic metalcore, metallic hardcore, progressive deathcore, slamming deathcore",36,61809,spotify:artist:1GkXxneFQE4d5YTsrbN6Ya
Amorphis,"finnish death metal, finnish melodeath, finnish metal, folk metal, gothic metal, melodic death metal, metal, power metal, progressive doom, symphonic metal, viking metal",47,305433,spotify:artist:2UOVgpgiNTC6KK0vSC77aD
Heaven Shall Burn,"german melodeath, german metalcore, melodic death metal, melodic metalcore, metalcore",44,260455,spotify:artist:4sy5qWfwUwpGYBnCKnwfcW
Mercyful Fate,"danish metal, death metal, hard rock, metal, thrash metal",40,317400,spotify:artist:0W8edGiwAsv6HXF0Kyc2V9
Malevolence,"deep melodic death metal, uk beatdown",42,75650,spotify:artist:7KFv5Cni7kseXWHJnnejXk
Unearth,"boston metal, deathcore, melodic metalcore, metalcore, nu metal",37,180664,spotify:artist:44wJRGNtWywCUJZug8FJg3
Dealer,"australian post-hardcore, deathcore, metallic hardcore, nu-metalcore",36,53170,spotify:artist:0TpKwhxtfxaPTaWsHqpVqP
Venom,"black metal, black thrash, british black metal, death metal, metal, nwobhm, old school thrash, speed metal, thrash metal",41,497029,spotify:artist:5fwaejlOHVBAw1KhIPPaQe
For The Fallen Dreams,"deathcore, melodic metalcore, metalcore",37,119829,spotify:artist:0rsHKddRhuze38fVL0egOY
Therion,"gothic metal, gothic symphonic metal, opera metal, power metal, swedish metal, symphonic black metal, symphonic death metal, symphonic metal",47,303407,spotify:artist:5c8Cw62ZYj9XO6iDLRDEsi
Annihilator,"canadian metal, death metal, metal, old school thrash, speed metal, technical groove metal, thrash metal",42,367962,spotify:artist:0L8QRAAuWjqvTM8FpQ1gYO
Rotting Christ,"black metal, gothic black metal, greek black metal, greek metal, melodic black metal, metal, symphonic black metal, symphonic deathcore, viking metal",43,224799,spotify:artist:7FhkwcO8Jd7BRWdllBpXBJ
Fleshgod Apocalypse,"blackened deathcore, brutal death metal, death metal, italian death metal, opera metal, symphonic death metal, symphonic metal, technical death metal",40,173369,spotify:artist:5ctFffJBdJe8PZL7W7NeML
Nile,"brutal death metal, death metal, metal, oriental metal, south carolina metal, technical death metal, thrash metal",39,227252,spotify:artist:3v3VSKylQE69ztn5TUVlFE
Pig Destroyer,"american grindcore, death metal, deathgrind, grindcore, sludge metal, virginia metal",35,97336,spotify:artist:4raqfuxaWjPjrOQGb6zoa7
Enterprise Earth,"brutal deathcore, deathcore, melodic metalcore, progressive deathcore",36,97480,spotify:artist:1l3cAmALCtGbjWGVtRwhoh
Within The Ruins,"deathcore, djent, melodic metalcore, metalcore",35,132151,spotify:artist:5mscNJ6lE9Kj7tWv4iCk7y
Ensiferum,"finnish melodeath, finnish metal, folk metal, melodic death metal, metal, nordic folk metal, power metal, symphonic metal, viking metal",43,304720,spotify:artist:0krXCIkthz13P8o0v2tksH
Scar Symmetry,"melodic death metal, melodic groove metal, swedish melodeath, swedish metal",40,137820,spotify:artist:2PQVMx0BpRQhzMWLa7X0T6
Distinguisher,"downtempo deathcore, metallic hardcore, progressive deathcore",34,18278,spotify:artist:2SAUkgFRLdVSLxMzT85HSc
Betraying The Martyrs,"deathcore, melodic metalcore, metalcore, symphonic deathcore",38,146994,spotify:artist:4tEWLl4loWFLgs25trNnro
Oceano,"deathcore, djent, melodic metalcore, metalcore",34,164578,spotify:artist:79A0IUxQD9skV7LVjPq53s
Ne Obliviscaris,"australian metal, avant-garde metal, melodic death metal, progressive metal",38,127923,spotify:artist:5kbidtcpyRRMdAQUnI1BG4
Vulvodynia,"deathcore, pornogrind, slamming deathcore, south african metal",36,87972,spotify:artist:3Gqp4F4hxnfH2txPKU5J2J
As Blood Runs Black,"deathcore, melodic deathcore, melodic metalcore, metalcore",35,136568,spotify:artist:4LjQpQc5NB5G02zqfEIex7
Havok,"crossover thrash, death metal, denver metal, metal, speed metal, thrash metal",38,162277,spotify:artist:2jw4wgixxa20jls9N3Bdpq
Death Angel,"death metal, metal, old school thrash, thrash metal",38,350888,spotify:artist:6KVc8Llznru8n9LVCYe9dz
Bloodbath,"black metal, brutal death metal, death metal, deathgrind, metal, swedish death metal, swedish metal, technical death metal, thrash metal",38,194994,spotify:artist:7eYmDBinb760MUIfoRdlGQ
VCTMS,"deathcore, metallic hardcore, nu-metalcore",33,39551,spotify:artist:0Gav1syIZzd1D6fiyhd9dT
Despised Icon,"canadian metal, deathcore, melodic metalcore",34,124089,spotify:artist:3MjNMjqBpaQ0P8ebfbZjYn
Reflections,"deathcore, djent, melodic metalcore, metalcore, progressive deathcore, progressive metalcore, thall",33,49036,spotify:artist:0DTH9zFyvRb24bb8XN0iEr
Breakdown of Sanity,"deathcore, melodic metalcore, metalcore, swiss metal",36,124996,spotify:artist:20reGZ0TQPGvwx5U4xx6D8
The Faceless,"avant-garde metal, brutal death metal, cosmic death metal, deathcore, djent, melodic metalcore, sci-fi metal, technical death metal, technical deathcore",34,135324,spotify:artist:1FQ6uth7icR6Jhla16K2vC
